Event.Id,Accident.Number,Event.Date,Location,Injury.Severity,Registration.Number,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make:Model
20140922X52015,ANC14LA085,2014-09-22,"Deadhorse, AK",Non-Fatal,N206J,1.0,Reciprocating,0.0,0.0,0.0,4.0,Cessna: TU206
20140926X32050,WPR14CA391,2014-09-24,"Oakland, CA",Non-Fatal,N774MF,2.0,Turbo Prop,0.0,0.0,0.0,4.0,Piper: PA 31T - II
20140930X44755,ANC14CA088,2014-09-24,"Holy Cross, AK",Non-Fatal,N3148M,1.0,Reciprocating,0.0,0.0,0.0,1.0,Piper: PA 12
20141007X80246,ERA14LA465,2014-09-28,"Ceiba, PR",Non-Fatal,N906GD,2.0,Reciprocating,0.0,1.0,0.0,6.0,Britten-Norman: BN-2A
20141003X84008,DCA15WA002,2014-10-03,"Buenos Aires, Argentina",Non-Fatal,N772AN,2.0,Turbo Fan,0.0,1.0,1.0,248.0,Boeing: 777 223
20141006X73012,DCA15FA004,2014-10-05,"Jamaica, NY",Non-Fatal,N572RP,2.0,Turbo Fan,0.0,0.0,0.0,228.0,Embraer: EMB 145LR
20141011X20926,ENG15IA037,2014-10-10,"London, United Kingdom",,N26906,,,0.0,0.0,0.0,0.0,Boeing: 787-8
20141017X44013,DCA15LA011,2014-10-17,"Lanai, HI",Non-Fatal,N301KH,2.0,Turbo Fan,0.0,0.0,0.0,3.0,Boeing: 737 330
20141023X80357,DCA15CA012,2014-10-23,"Minneapolis, MN",Non-Fatal,N622CZ,,,0.0,0.0,0.0,272.0,Embraer: ERJ 170 200 LR
20141030X64658,DCA15RA018,2014-10-29,"Sint Maartin -Juliana, Sint Maarten",Fatal,N380MQ,,,2.0,0.0,0.0,0.0,Short Brothers: SHORTS SD3 60
20141117X21522,ANC15LA004,2014-11-15,"Nenana, AK",Non-Fatal,N6465V,1.0,Reciprocating,0.0,0.0,0.0,3.0,Helio: H 295
20141118X44256,CEN15FA048,2014-11-18,"Chicago, IL",Fatal,N30MB,2.0,Reciprocating,1.0,0.0,0.0,0.0,Aero Commander: 500 B
