Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make:Model,Severity_Score,Fatality,extracted_value
0.0,0.0,0.0,146.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,268.0,Boeing777,100.0,Non-Fatal,
0.0,0.0,0.0,326.0,Boeing747,100.0,Non-Fatal,
0.0,0.0,0.0,109.0,Boeing737,100.0,Non-Fatal,
0.0,5.0,0.0,140.0,Boeing767,137.93103448275863,Non-Fatal,
0.0,0.0,0.0,140.0,Boeing737,100.0,Non-Fatal,
0.0,5.0,1.0,172.0,Boeing767,132.02247191011236,Non-Fatal,
0.0,0.0,0.0,246.0,Boeing747,100.0,Non-Fatal,
0.0,0.0,0.0,112.0,Boeing757,100.0,Non-Fatal,
158.0,0.0,7.0,1.0,Boeing737,2392.7710843373493,Fatal-158,
0.0,0.0,2.0,209.0,Boeing777,101.89573459715639,Non-Fatal,
0.0,0.0,0.0,162.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,1.0,167.0,Boeing737,101.19047619047619,Non-Fatal,
0.0,0.0,0.0,214.0,Boeing777,100.0,Non-Fatal,
0.0,0.0,1.0,201.0,Boeing767,100.99009900990099,Non-Fatal,
0.0,0.0,0.0,96.0,Boeing737,100.0,Non-Fatal,
0.0,6.0,0.0,184.0,Boeing767,134.73684210526315,Non-Fatal,
1.0,67.0,17.0,42.0,Boeing737,725.9842519685039,Fatal-1,
0.0,0.0,1.0,193.0,Boeing767,101.03092783505154,Non-Fatal,
0.0,0.0,0.0,133.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,173.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,160.0,Boeing757,100.0,Non-Fatal,
0.0,0.0,0.0,142.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,111.0,Boeing737,100.0,Non-Fatal,
0.0,2.0,1.0,181.0,Boeing767,113.04347826086956,Non-Fatal,
0.0,0.0,0.0,137.0,Boeing777,100.0,Non-Fatal,
0.0,0.0,0.0,125.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,92.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,132.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,222.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,122.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,185.0,Boeing757,100.0,Non-Fatal,
0.0,0.0,0.0,165.0,Boeing737,100.0,Non-Fatal,
0.0,8.0,7.0,88.0,Boeing767,199.02912621359224,Non-Fatal,
0.0,6.0,1.0,243.0,Boeing767,127.2,Non-Fatal,
0.0,0.0,0.0,216.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,226.0,Boeing737,100.0,Non-Fatal,
