Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Number.of.Engines,Engine.Type,FAR.Description,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,People.Count
20130314X14422,Accident,DCA13CA065,2013-03-08,"Atlanta, GA",Non-Fatal,Substantial,Airplane,N698DL,Boeing,757-232,2.0,Turbo Fan,121,0.0,0.0,0.0,148.0,VMC,,148.0
20130319X10711,Accident,ANC13LA032,2013-03-08,"Talkeetna, AK",Non-Fatal,Substantial,Airplane,N185FK,Cessna,A185F,1.0,Reciprocating,135,0.0,0.0,0.0,4.0,VMC,,4.0
20130321X52907,Accident,ERA13WA178,2013-03-12,"Almeirim Municipality, Brazil",Fatal,Destroyed,Airplane,PT-VAQ,Embraer Aircraft,EMB-820C,2.0,Turbo Prop,NUSC,10.0,0.0,0.0,0.0,VMC,,10.0
20130325X33019,Incident,ENG13RA018,2013-03-24,"Jeddah, Saudi Arabia",,Minor,Airplane,9M-MPM,Boeing,,,,129,0.0,0.0,0.0,0.0,,,0.0
20130423X52029,Accident,ANC13CA037,2013-03-26,"Anchorage, AK",Non-Fatal,Substantial,Airplane,N995SP,Dehavilland,DHC-2 MK. I(L20A),1.0,Reciprocating,135,0.0,0.0,0.0,4.0,VMC,,4.0
20130510X55506,Incident,DCA13WA087,2013-03-27,"Gran Canaria, Spain",,,Airplane,D-ABOC,Boeing Company,Boeing 757-300,2.0,,NUSC,0.0,0.0,0.0,0.0,,,0.0
20130408X10949,Accident,DCA13FA071,2013-04-05,"Las Vegas, NV",Non-Fatal,Substantial,Airplane,N560UW,Airbus,321,2.0,Turbo Fan,121,0.0,0.0,0.0,192.0,VMC,,192.0
20130411X54840,Incident,DCA13WA072,2013-04-05,"Guatemala City, Guatemala",Non-Fatal,Minor,Airplane,N279AD,Boeing,B737,,,129,0.0,0.0,0.0,5.0,,,5.0
20130425X71532,Accident,ANC13CA038,2013-04-15,"Port Alsworth, AK",Non-Fatal,Substantial,Airplane,N1820L,Beech,A36,1.0,Reciprocating,135,0.0,0.0,0.0,4.0,VMC,,4.0
20130517X30721,Accident,DCA13WA092,2013-04-16,"Madrid, Spain",,Substantial,Airplane,XA-TOJ,Boeing,767,2.0,,NUSC,0.0,0.0,0.0,0.0,,,0.0
20130528X45114,Accident,CEN13WA297,2013-04-16,"Luxembourg, Luxembourg",Non-Fatal,Substantial,Airplane,LX-FGL,Cessna,510,,,NUSC,0.0,0.0,0.0,3.0,VMC,,3.0
20130503X90951,Accident,ERA13WA226,2013-04-26,"Belem, Brazil",Fatal,Substantial,Airplane,PR-LJI,Cessna,210L,1.0,,NUSC,2.0,4.0,2.0,0.0,VMC,,8.0
20130507X80356,Incident,ENG13WA024,2013-04-28,"Jeddah, Saudi Arabia, Saudi Arabia",Non-Fatal,Minor,Airplane,HZ-AK16,Boeing,777,2.0,Turbo Fan,NUSC,0.0,0.0,0.0,0.0,,,0.0
20130429X12734,Accident,DCA13MA081,2013-04-29,"Bagram, Afghanistan",Fatal,Destroyed,Airplane,N949CA,Boeing,747-400 BCF,4.0,Turbo Jet,121,7.0,0.0,0.0,0.0,VMC,,7.0
20130502X52359,Accident,DCA13FA082,2013-05-01,"Newark, NJ",Non-Fatal,Minor,Airplane,LN-RKO,Airbus,A330,2.0,Turbo Fan,129,0.0,0.0,0.0,290.0,VMC,,290.0
20130508X32011,Accident,ANC13CA042,2013-05-04,"Newtok, AK",Non-Fatal,Substantial,Airplane,N9400M,Cessna,207A,1.0,Reciprocating,135,0.0,4.0,0.0,0.0,VMC,,4.0
20130509X82017,Incident,ENG13RA026,2013-05-06,"Osaka, Japan, Japan",Non-Fatal,Minor,Airplane,JA206J,Bombardier,CL-600,2.0,Turbo Fan,NUSC,0.0,0.0,0.0,55.0,,,55.0
20130517X14847,Accident,DCA13CA091,2013-05-09,"Dallas, TX",Non-Fatal,,Airplane,N327NW,Airbus,320,2.0,Turbo Fan,121,0.0,0.0,1.0,119.0,VMC,,120.0
20130511X04905,Incident,WPR13IA226,2013-05-10,"Phoenix, AZ",Non-Fatal,Minor,Airplane,N913WN,Boeing,737-7H4,2.0,Turbo Fan,121,0.0,0.0,0.0,59.0,VMC,,59.0
20130515X53650,Accident,DCA13CA090,2013-05-11,"Flushing, NY",Non-Fatal,,Airplane,N208JQ,Embraer-Empresa Brasileira De,ERJ 170-200 LR,2.0,Turbo Fan,121,0.0,0.0,1.0,3.0,VMC,,4.0
20130529X24026,Accident,WPR13CA246,2013-05-14,"Friday Harbor, WA",Non-Fatal,Substantial,Airplane,N707WJ,Cessna,U206G,1.0,Reciprocating,135,0.0,0.0,0.0,3.0,VMC,,3.0
20130519X11737,Accident,DCA13FA094,2013-05-18,"Newark, NJ",Non-Fatal,Substantial,Airplane,N934HA,Bombardier,DHC8,2.0,Turbo Prop,121,0.0,0.0,0.0,34.0,VMC,,34.0
20130524X83830,Incident,ENG13IA027,2013-05-19,"Atlanta, GA",Non-Fatal,Minor,Airplane,B18701,Boeing,747,4.0,Turbo Fan,129,0.0,0.0,0.0,3.0,VMC,,3.0
20130528X00922,Incident,ENG13WA030,2013-05-25,"Moscow, Russia",Non-Fatal,,Airplane,EI-UNW,Boeing,777,,,129,0.0,0.0,0.0,235.0,,,235.0
20130604X45342,Accident,ANC13CA053,2013-05-30,"King Salmon, AK",Non-Fatal,Substantial,Airplane,N77206,Cessna,U206G,1.0,Reciprocating,135,0.0,0.0,0.0,3.0,VMC,,3.0
20130605X32343,Accident,ANC13FA054,2013-06-04,"Petersburg, AK",Fatal,Substantial,Airplane,N616W,Dehavilland,BEAVER DHC-2 MK.1,1.0,Reciprocating,135,1.0,4.0,2.0,0.0,VMC,,7.0
20130708X40148,Incident,DCA13WA123,2013-06-07,"Shanghai, China",Non-Fatal,Minor,Airplane,B-3052,Embraer,145,,,NUSC,0.0,0.0,0.0,49.0,,,49.0
20130614X14844,Accident,DCA13CA106,2013-06-13,"Nashville, TN",Non-Fatal,Substantial,Airplane,N995DL,Mcdonnell Douglas Aircraft Co,MD-88,2.0,Turbo Fan,121,0.0,0.0,0.0,156.0,VMC,,156.0
20130617X85842,Accident,ERA13WA287,2013-06-13,"Taisha, Spain",Fatal,Substantial,Airplane,HC-CMX,Piper,PA22,,Reciprocating,NUSC,4.0,0.0,0.0,0.0,,,4.0
20130616X52756,Accident,WPR13CA271,2013-06-14,"Salmon, ID",Non-Fatal,Substantial,Airplane,N6993N,Cessna,T210N,1.0,Reciprocating,135,0.0,0.0,0.0,4.0,VMC,,4.0
