,Event.Id,Accident.Number,Event.Date,Location,Injury.Severity,Registration.Number,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,People.Count,Make:Model
2000,20200519X44148,DCA20WA106,2020-02-17,"Rosario, Argentina",Non-Fatal,LV-CHQ,,,0.0,0.0,0.0,102.0,102.0,Embraer: ERJ190
2007,20200324X75727,DCA20WA096,2020-03-05,"Apodaca, Mexico",Non-Fatal,N250NN,,,0.0,0.0,0.0,52.0,52.0,Embraer: ERJ170-200LR
2008,20200312X91006,DCA20WA093,2020-03-08,"Shannon, Ireland",Non-Fatal,N477AX,2.0,Turbo Fan,0.0,0.0,0.0,181.0,181.0,Boeing: 767
2014,20200321X14202,DCA20CA095,2020-03-21,"Las Vegas, NV",Non-Fatal,N193AN,2.0,,0.0,0.0,0.0,127.0,127.0,Boeing: 757
2025,20200521X63755,DCA20LA107,2020-05-19,"Victorville, CA",Non-Fatal,N820TJ,,,0.0,0.0,0.0,95.0,95.0,Boeing: 737
2026,20200522X82856,DCA20WA108,2020-05-22,"Karachi, Pakistan",Fatal,AP-BLD,,,97.0,0.0,2.0,0.0,99.0,Airbus: A320
2029,20200707X51545,DCA20WA119,2020-06-11,"Banjarmasin, Indonesia",Non-Fatal,PK-GML,,,0.0,0.0,0.0,37.0,37.0,Boeing: 737
2032,20200911X91036,ENG20WA042,2020-07-03,"Ambon, Indonesia",Non-Fatal,PK-WHY,,,0.0,0.0,0.0,49.0,49.0,Atr: ATR72
2038,20200728X34409,DCA20WA131,2020-07-14,"Durban, South Africa",Non-Fatal,ZS-SJB,,,0.0,0.0,1.0,116.0,117.0,Boeing: 737
2053,20200828X12131,DCA20WA140,2020-08-28,"Bucharest, Romania",Non-Fatal,N423AX,2.0,Turbo Fan,0.0,0.0,0.0,66.0,66.0,Boeing: 767
2054,20200831X31013,DCA20WA142,2020-08-29,"Tokyo, Japan",Non-Fatal,JA73NM,,,0.0,0.0,0.0,76.0,76.0,Boeing: 737
2065,20201109102250,DCA21LA018,2020-09-30,"Anchorage, AK",Non-Fatal,N860DA,,,0.0,0.0,1.0,251.0,252.0,Boeing: 777
2077,20201119102304,DCA21LA024,2020-11-14,"Phoenix, AZ",Non-Fatal,N778SK,2.0,,0.0,0.0,1.0,60.0,61.0,Bombardier: CL600 2C10
2082,20201214102413,DCA21WA049,2020-12-02,"Garowe, Somalia",Non-Fatal,EY-560,,,0.0,0.0,0.0,39.0,39.0,Boeing: 737
2085,20201229102469,DCA21LA058,2020-12-23,"Houston, TX",Non-Fatal,N463UA,2.0,,0.0,0.0,1.0,139.0,140.0,Airbus: A320-232
2089,20201231102479,DCA21WA061,2020-12-30,"San Jose, OF",Non-Fatal,N73275,2.0,Turbo Fan,0.0,0.0,0.0,129.0,129.0,Boeing: 737-824
2093,20210203102591,DCA21WA081,2021-01-06,"Mexico City, Mexico",Non-Fatal,HP-1526CMP,,,0.0,0.0,0.0,160.0,160.0,Boeing: 737
2094,20210109102507,DCA21WA066,2021-01-09,"Jakarta, Indonesia",Fatal,PK-CLC,,,62.0,0.0,0.0,0.0,62.0,Boeing: 737
2096,20210125102548,DCA21WA070,2021-01-17,"Dubai, Turks And Caicos",Non-Fatal,A6-HER,,,0.0,0.0,1.0,63.0,64.0,Boeing: 777
2108,20210210102620,DCA21LA082,2021-02-08,"Fort Lauderdale, FL",Non-Fatal,N918NK,,,0.0,0.0,1.0,95.0,96.0,Airbus: A320
2110,20210220102652,DCA21FA085,2021-02-20,"Broomfield, CO",Non-Fatal,N772UA,2.0,,0.0,0.0,0.0,239.0,239.0,Boeing: 777-222
2111,20210222102654,DCA21WA086,2021-02-20,"Vijayawada, OF",Non-Fatal,VT-GHE,,,0.0,0.0,0.0,137.0,137.0,Boeing: 737
2117,20210316102768,DCA21LA095,2021-03-15,"Dallas, TX",Non-Fatal,N789AN,2.0,,0.0,0.0,1.0,261.0,262.0,Boeing: 777-223
2119,20210317102773,DCA21LA096,2021-03-16,"Los Angeles, CA",Non-Fatal,N706SK,2.0,,0.0,0.0,1.0,65.0,66.0,Bombardier: CL-600-2C10
2126,20210330102837,DCA21WA111,2021-03-27,"Lima, Peru",Non-Fatal,CC-AZE,,,0.0,0.0,0.0,116.0,116.0,Airbus: A320
2132,20210601103174,DCA21WA139,2021-04-24,"Rotterdam, Netherlands (the)",Non-Fatal,PH-XRX,,,0.0,0.0,0.0,65.0,65.0,Boeing: 737
2134,20210507103049,OPS21LA002,2021-04-29,"St Petersburg-Clearwater, FL",Non-Fatal,N306NV,2.0,,0.0,0.0,0.0,130.0,130.0,Airbus: A319-112
2138,20210528103161,DCA21WA136,2021-05-11,"Cayo Coco, Cuba",Non-Fatal,VQ-BJA,,,0.0,0.0,0.0,455.0,455.0,Boeing: 777
2140,20210524103134,DCA21LA133,2021-05-21,"Chicago, IL",Non-Fatal,N289CT,2.0,,0.0,0.0,0.0,214.0,214.0,Boeing: 737
2141,20210529103164,DCA21LA137,2021-05-28,"Dallas, TX",Non-Fatal,N834NN,2.0,,0.0,0.0,0.0,166.0,166.0,Boeing: 737-823
2143,20210603103206,DCA21WA143,2021-05-28,"Yesan, South Korea",Non-Fatal,HL7528,,,0.0,0.0,1.0,237.0,238.0,Boeing: 767
2145,20210614103256,DCA21WA152,2021-06-07,"Kolkata, India",Non-Fatal,VT-TGE,,,0.0,1.0,2.0,111.0,114.0,Boeing: 737
2146,20210616103275,OPS21LA003,2021-06-11,"San Diego, CA",Non-Fatal,N8674B,2.0,,0.0,0.0,0.0,77.0,77.0,Boeing: 737-8H4
2152,20210628103350,DCA21LA164,2021-06-25,"New Orleans, LA",Non-Fatal,N926UW,2.0,,0.0,8.0,1.0,185.0,194.0,Airbus: A321-231
2156,20210706103420,DCA21LA176,2021-07-04,"Miami, FL",Non-Fatal,N156AN,2.0,,0.0,0.0,1.0,180.0,181.0,Airbus: A321-231
2164,20210726103537,DCA21LA184,2021-07-22,"Detroit, MI",Non-Fatal,N376DN,2.0,,0.0,0.0,1.0,193.0,194.0,Airbus: A321-211
2166,20210730103590,DCA21WA187,2021-07-25,"Nice, OF",Non-Fatal,SE-RPE,,,0.0,1.0,1.0,184.0,186.0,Boeing: 737
2170,20210803103617,DCA21WA191,2021-07-30,"Santa Cruz de la Sierra, Saint Barthelemy",Non-Fatal,CP-2889,4.0,,0.0,0.0,0.0,97.0,97.0,Bae: RJ85
2178,20210826103756,DCA21LA209,2021-08-21,"Chicago, IL",Non-Fatal,N806AW,,,0.0,0.0,1.0,119.0,120.0,Airbus: 319-132
2181,20210825103753,DCA21LA208,2021-08-24,"SeaTac, WA",Non-Fatal,N479AS,2.0,,0.0,3.0,1.0,130.0,134.0,Boeing: 737-990ER
2185,20210927103969,DCA21LA229,2021-09-01,"Seattle, WA",Non-Fatal,N196DN,2.0,,0.0,1.0,1.0,37.0,39.0,Boeing: 767-332
2193,20210921103922,DCA21LA226,2021-09-17,"Asheville, NC",Non-Fatal,N444ZW,2.0,,0.0,0.0,0.0,51.0,51.0,Bombardier: CL-600-2B19
2195,20211005104043,DCA22LA004,2021-09-23,"Honolulu, HI",Non-Fatal,N208HA,2.0,,0.0,0.0,0.0,134.0,134.0,Airbus: A321-271N
2197,20211001104015,DCA22LA002,2021-09-27,"Newark, NJ",Non-Fatal,N12125,2.0,,0.0,0.0,0.0,172.0,172.0,Boeing: 757-224
2198,20211004104029,ENG22LA002,2021-10-02,"Atlantic City, NJ",Non-Fatal,N922NK,2.0,,0.0,4.0,0.0,108.0,112.0,Airbus: A320-271N
2199,20211007104064,DCA22LA005,2021-10-02,"Chicago, IL",Non-Fatal,N142SY,2.0,,0.0,0.0,0.0,53.0,53.0,Embraer: ERJ 170-200 LR
2200,20211025104153,DCA22LA012,2021-10-09,"Lexington, VA",Non-Fatal,N8642E,2.0,,0.0,0.0,1.0,111.0,112.0,Boeing: 737-8H4
2206,20211025104161,DCA22LA015,2021-10-23,"Miami, FL",Non-Fatal,N252NN,2.0,,0.0,0.0,1.0,62.0,63.0,Embraer: ERJ 170-200 LR
2207,20211109104223,DCA22WA021,2021-10-31,"Vogo, India",Non-Fatal,4X-EDA,,,0.0,0.0,0.0,276.0,276.0,Boeing: 787-9
2208,20211108104217,DCA22WA020,2021-11-03,"Baradero, Argentina",Non-Fatal,N36962,2.0,,0.0,0.0,0.0,159.0,159.0,Boeing: 787-9
2217,20211129104327,DCA22WA035,2021-11-25,"Bogata, Colombia",Non-Fatal,N1604R,2.0,,0.0,0.0,0.0,206.0,206.0,Boeing: 767-332
2222,20220113104525,DCA22WA067,2022-01-02,"Warsaw, ",Non-Fatal,SP-LRA,,,0.0,0.0,0.0,199.0,199.0,Boeing: 787
2228,20220127104561,DCA22WA071,2022-01-15,"Barcelona, ",Non-Fatal,YV2794,,,0.0,0.0,0.0,51.0,51.0,Boeing: 737
2231,20220207104606,DCA22WA074,2022-01-16,"Okayama City, ",Serious,JA24MC,,,0.0,0.0,1.0,55.0,56.0,Airbus: A320
2232,20220124104551,DCA22LA069,2022-01-22,"Hayden, CO",Non-Fatal,N760JB,2.0,,0.0,0.0,0.0,108.0,108.0,Airbus: A320-232
2237,20220204104596,ENG22FA009,2022-02-04,"Las Vegas, NV",Non-Fatal,N817SY,2.0,,0.0,0.0,0.0,56.0,56.0,Boeing: 737-8K2
2240,20220217104662,ENG22WA013,2022-02-10,"Lanseria, OF",Non-Fatal,ZS-ZWD,2.0,,0.0,0.0,0.0,163.0,163.0,Boeing: 737
2246,20220309104748,DCA22WA090,2022-03-02,"Karachi, OF",Non-Fatal,AP-BNB,,,0.0,0.0,0.0,115.0,115.0,Boeing: 737
2250,20220314104779,ENG22WA015,2022-03-07,"Lanseria, OF",Non-Fatal,ZS-ZWB,,,0.0,0.0,0.0,141.0,141.0,Boeing: 737
2251,20220310104758,DCA22WA095,2022-03-09,"Manchester, OF",Non-Fatal,G-TAWY,2.0,,0.0,0.0,0.0,177.0,177.0,Boeing: 737
2256,20220321104807,DCA22WA102,2022-03-21,"Wuzhou, ",Fatal,B-1791,,,132.0,0.0,0.0,0.0,132.0,Boeing: 737
2264,20220408104914,ENG22WA018,2022-04-08,"Shannon, Irelan, ",Non-Fatal,N670UA,2.0,,0.0,0.0,0.0,126.0,126.0,Boeing: 767-322
2267,20220516105082,ENG22WA026,2022-04-08,"Tambon Nong Prue, OF",Non-Fatal,HS-VKC,2.0,,0.0,0.0,0.0,132.0,132.0,Airbus: A320
2271,20220419104964,DCA22WA115,2022-04-16,"Tehran, ",Non-Fatal,EP-MDG,,,0.0,0.0,0.0,39.0,39.0,Boeing: MD82
2277,20220511105061,DCA22WA122,2022-05-06,"Naples, ",Non-Fatal,YR-BMM,,,0.0,0.0,0.0,154.0,154.0,Boeing: 737
2278,20220515105077,DCA22WA123,2022-05-06,"Kathmandu, ",Non-Fatal,9V-MGL,,,0.0,0.0,0.0,173.0,173.0,Boeing: 737
2281,20220623105307,DCA22LA134,2022-05-22,"Tacoma, WA",Minor,N256WN,2.0,Turbo Fan,0.0,1.0,0.0,66.0,67.0,Boeing: 737-700
2284,20220601105167,DCA22LA125,2022-05-25,"Springfield, MO",Serious,N483UA,2.0,,0.0,0.0,1.0,151.0,152.0,Airbus: A320-232
2285,20220830105828,DCA22WA190,2022-05-27,"Lahore, ",Serious,A6-BLF,,,0.0,6.0,1.0,121.0,128.0,Boeing: 787-900
2292,20220623105316,ENG22WA032,2022-06-14,"Karachi, ",Non-Fatal,A7-BEA,,,0.0,0.0,0.0,183.0,183.0,Boeing: 777
2296,20220622105298,DCA22FA132,2022-06-21,"Miami, FL",Minor,HI-1064,,,0.0,4.0,0.0,136.0,140.0,Mcdonnell Douglas: MD80
2297,20220622105303,DCA22LA133,2022-06-21,"Pittsburgh, PA",Non-Fatal,N37513,2.0,,0.0,0.0,0.0,174.0,174.0,Boeing: 737-9
2299,20220627105355,DCA22WA136,2022-06-25,"Dubrovnik, ",Non-Fatal,G-JZBC,,,0.0,0.0,0.0,195.0,195.0,Boeing: 800
2300,20220627105356,DCA22WA137,2022-06-25,"Cairo, ",Non-Fatal,SU-GCZ,,,0.0,0.0,0.0,134.0,134.0,Boeing: 800
2302,20220718105497,DCA22LA151,2022-07-02,"Santa Ana, CA",Serious,N480WN,2.0,Turbo Fan,0.0,0.0,1.0,141.0,142.0,Boeing: 737-700
2315,20220719105521,DCA22WA152,2022-07-16,"Naha, ",Serious,JA807X,,,0.0,0.0,1.0,132.0,133.0,Boeing: 737
2317,20220726105575,ENG22WA035,2022-07-25,"Bogota, OF",Non-Fatal,N562AV,2.0,,0.0,0.0,0.0,178.0,178.0,Airbus: A320-214
2321,20220731105625,DCA22WA164,2022-07-30,"Chiang Rai, ",Non-Fatal,HS-DBR,,,0.0,0.0,0.0,175.0,175.0,Boeing: 737-800
2323,20220825105801,DCA22LA188,2022-08-19,"Pharisburg, OH",Serious,N73270,2.0,,0.0,0.0,1.0,169.0,170.0,Boeing: 737-824
2325,20220901105843,DCA22LA191,2022-08-29,"Detroit, MI",Serious,N946AT,2.0,,0.0,0.0,1.0,101.0,102.0,Boeing: 717-200
2336,20220927106004,DCA22LA212,2022-09-22,"Los Angeles, CA",Non-Fatal,N393HA,2.0,,0.0,0.0,0.0,290.0,290.0,Airbus: A330-243
2339,20221003106034,DCA23WA002,2022-10-01,"Manila, ",Non-Fatal,HZ-AK28,,,0.0,0.0,0.0,368.0,368.0,Boeing: 777
2340,20221011106104,DCA23WA012,2022-10-03,"Komatsu, Ishikawa, OF",Minor,JA07RK,2.0,,0.0,1.0,0.0,105.0,106.0,Boeing: 737
2344,20221114106279,DCA23LA050,2022-11-10,"Miami, FL",Serious,N316SE,2.0,,0.0,0.0,1.0,147.0,148.0,Boeing: 737-8
