,Event.Id,Accident.Number,Event.Date,Location,Injury.Severity,Registration.Number,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,People.Count,Make:Model
1253,20150511X92031,CEN15IA225,2015-05-05,"New Orleans, LA",Non-Fatal,N941FR,2.0,Turbo Fan,0.0,0.0,0.0,136.0,136.0,Airbus: A319 112
1255,20150523X13659,DCA15CA125,2015-05-23,"Atlanta, GA",Non-Fatal,N334NW,2.0,Turbo Fan,0.0,0.0,1.0,146.0,147.0,Airbus: A320 212
1256,20150618X30530,DCA15CA136,2015-05-27,"Windsor Locks, CT",Non-Fatal,G-VIIY,2.0,Turbo Fan,0.0,1.0,1.0,197.0,199.0,Boeing: 777 - 236
1259,20150605X52542,ENG15IA024,2015-06-05,"Windsor Locks, CT",Non-Fatal,N363PH,2.0,Turbo Prop,0.0,0.0,0.0,37.0,37.0,Bombardier: DHC 8
1260,20150608X90730,DCA15CA129,2015-06-08,"St Petersburg, FL",Non-Fatal,N869GA,2.0,Turbo Fan,0.0,7.0,1.0,137.0,145.0,Mcdonnell Douglas: DC 9 83(MD-83)
1261,20150611X74851,DCA15CA131,2015-06-10,"McCook, NE",Non-Fatal,N246LR,2.0,Turbo Fan,0.0,4.0,1.0,75.0,80.0,Bombardier: CL600 2D24
1266,20150717X41748,DCA15CA152,2015-06-29,"Boston, MA",Non-Fatal,N335NW,2.0,Turbo Fan,0.0,0.0,1.0,155.0,156.0,Airbus: A320 212
1272,20150805X75232,CEN15IA337,2015-08-05,"Denver, CO",Non-Fatal,N779SW,2.0,Turbo Fan,0.0,0.0,0.0,148.0,148.0,Boeing: 737
1273,20150812X63537,WPR15LA239,2015-08-07,"South Lake Tahoe, CA",Non-Fatal,N204NN,2.0,Turbo Fan,0.0,0.0,1.0,65.0,66.0,Embraer: E175
1274,20150811X22104,OPS15IA020,2015-08-08,"Max, NE",Non-Fatal,N332NW,2.0,Turbo Fan,0.0,0.0,0.0,124.0,124.0,Airbus: A320 211
1275,20150818X14949,DCA15LA173,2015-08-15,"Charlotte, NC",Non-Fatal,N564UW,2.0,Turbo Fan,0.0,0.0,0.0,159.0,159.0,Airbus: A321
1279,20150824X02325,DCA15CA176,2015-08-23,"Oakland, CA",Non-Fatal,N232WN,2.0,Turbo Fan,0.0,0.0,0.0,147.0,147.0,Boeing: 737 7H4
1281,20150921X31350,DCA15WA188,2015-09-05,"Tambacounda, Singapore",Fatal,3C-LLY,2.0,,7.0,0.0,0.0,112.0,119.0,Boeing: 737
1282,20150908X35241,DCA15FA185,2015-09-08,"Las Vegas, NV",Non-Fatal,G-VIIO,2.0,Turbo Fan,0.0,19.0,1.0,150.0,170.0,Boeing: BOEING 777-236
1285,20150923X00156,DCA15WA198,2015-09-16,"Miami, FL",Non-Fatal,A7-BAC,,,0.0,0.0,0.0,279.0,279.0,Boeing: 777
1287,20151005X22228,DCA16CA001,2015-10-01,"Nassau, Bahamas",Non-Fatal,N9026C,2.0,Turbo Fan,0.0,4.0,2.0,73.0,79.0,Airbus: A319
1288,20151005X35533,ENG16IA001,2015-10-02,"Russian airspace, Japan",Non-Fatal,N662US,4.0,Turbo Fan,0.0,0.0,0.0,367.0,367.0,Boeing: 747
1289,20151022X65901,DCA16CA008,2015-10-09,"Pound Ridge, NY",Non-Fatal,N383SW,2.0,Turbo Fan,0.0,0.0,1.0,147.0,148.0,Boeing: 737 3H4
1291,20151023X50751,DCA16CA009,2015-10-21,"Dallas, TX",Non-Fatal,N183AN,2.0,Turbo Fan,0.0,0.0,1.0,166.0,167.0,Boeing: 757 223
1292,20151026X81321,DCA16CA010,2015-10-24,"Plevna, KS",Non-Fatal,N69838,2.0,Turbo Fan,0.0,1.0,1.0,183.0,185.0,Boeing: 737-924ER
1293,20151027X61915,DCA16WA012,2015-10-26,"Johannesburg, South Africa",Non-Fatal,ZS-OAA,,,0.0,0.0,0.0,102.0,102.0,Boeing: 737
1294,20151029X44249,DCA16FA013,2015-10-29,"Fort Lauderdale, FL",Non-Fatal,N251MY,,Turbo Fan,0.0,21.0,1.0,79.0,101.0,Boeing: 767
1297,20151107X52955,DCA16CA021,2015-11-07,"Beaumont, TX",Non-Fatal,N27958,2.0,Turbo Fan,0.0,0.0,1.0,220.0,221.0,Boeing: 787
1301,20151130X61148,DCA16CA026,2015-11-29,"St Louis, MO",Non-Fatal,N467WN,2.0,Turbo Fan,0.0,0.0,1.0,147.0,148.0,Boeing: 737 7H4
1305,20151216X41606,DCA16LA032,2015-12-15,"Nashville, TN",Non-Fatal,N649SW,2.0,Turbo Fan,0.0,0.0,0.0,138.0,138.0,Boeing: 737 3H4
