Event.Id,Accident.Number,Event.Date,Location,Injury.Severity,Registration.Number,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,People.Count,Make:Model,City,Region,Severity_Score,extracted_value
20001213X27446,LAX89LA068,1988-12-23,"Midway Islands, PO",Non-Fatal,N146UA,4.0,Turbo Fan,0.0,1.0,1.0,220.0,222.0,Boeing747,Midway Islands,PO,105.85585585585586,Boeing
20001212X17360,NYC91IA137,1991-06-06,"BOSTON, MA",Incident,N750UA,3.0,Turbo Fan,0.0,0.0,0.0,156.0,156.0,Boeing727,Boston,Massachusetts,100.0,Boeing
20001207X03526,NYC95IA114B,1995-05-19,"NEWARK, NJ",Incident,N13624,2.0,Turbo Fan,0.0,0.0,0.0,288.0,288.0,Boeing737,Newark,New Jersey,100.0,Boeing
20001207X03526,NYC95IA114A,1995-05-19,"NEWARK, NJ",Incident,LNRCK,2.0,Turbo Fan,0.0,0.0,0.0,288.0,288.0,Boeing767,Newark,New Jersey,100.0,Boeing
20001207X04990,DCA96RA020,1995-12-20,"BUGA, Colombia",Fatal(160),N651AA,,Unknown,160.0,4.0,0.0,0.0,164.0,Boeing757,Buga,Colombia,2468.2926829268295,Boeing
20001208X07017,DCA97WA011,1996-11-23,"COMORSO ISLANDS, Ethiopia",Fatal(125),,,Unknown,125.0,44.0,2.0,4.0,175.0,Boeing767,Comorso Islands,Ethiopia,2093.1428571428573,Boeing
20010711X01386,DCA97WA029,1997-02-15,"Panama City, Panama",Incident,,,,0.0,0.0,0.0,63.0,63.0,Boeing737,Panama City,Panama,100.0,Boeing
20001208X07906,FTW97LA177,1997-05-04,"DENVER, CO",Non-Fatal,N217US,2.0,Turbo Jet,0.0,1.0,0.0,96.0,97.0,Boeing737,Denver,Colorado,111.34020618556701,Boeing
20001208X07895,DCA97WA045,1997-05-08,"SHENZHEN, China",Fatal(35),,,Unknown,35.0,0.0,0.0,0.0,35.0,Boeing737,Shenzhen,China,2500.0,Boeing
20001208X07896,DCA97WA047A,1997-05-14,"LONDON, United Kingdom",Non-Fatal,,4.0,Turbo Fan,0.0,0.0,0.0,573.0,573.0,Boeing747,London,United Kingdom,100.0,Boeing
20001208X07896,DCA97WA047B,1997-05-14,"LONDON, UNITED KINGDOM",Non-Fatal,N770UA,2.0,Turbo Fan,0.0,0.0,0.0,573.0,573.0,Boeing777,London,UNITED KINGDOM,100.0,Boeing
20001208X08067,ATL97WA079,1997-06-03,"ASUNCION, Paraguay",Non-Fatal,N651UA,,Unknown,0.0,1.0,0.0,122.0,123.0,Boeing767,Asuncion,Paraguay,108.9430894308943,Boeing
20001208X08714,MIA97WA226,1997-08-02,"LIMA, Peru",Fatal(1),N12114,,Unknown,1.0,0.0,0.0,149.0,150.0,Boeing757,Lima,Peru,115.99999999999999,Boeing
20001208X08606,DCA97MA058,1997-08-06,"NIMITZ HILL, GU",Fatal(228),H7468,4.0,Turbo Fan,228.0,26.0,0.0,0.0,254.0,Boeing747,Nimitz Hill,GU,2366.929133858268,Boeing
20001211X09413,DCA98RA016,1998-01-09,"LONDON, United Kingdom",Non-Fatal,N653UA,,Turbo Fan,0.0,1.0,4.0,87.0,92.0,Boeing767,London,United Kingdom,120.65217391304348,Boeing
20001211X11042,DCA99WA003,1998-09-12,,Incident,,,Unknown,0.0,0.0,0.0,200.0,200.0,Boeing767,,,100.0,Boeing
20001211X11485,MIA99WA029,1998-11-11,"CONCEPCION, Bolivia",Non-Fatal,N784UA,,Turbo Fan,0.0,1.0,0.0,227.0,228.0,Boeing777,Concepcion,Bolivia,104.82456140350878,Boeing
20001204X00044,DCA99WA031,1999-01-15,"LONDON, UNITED KINGDOM",Non-Fatal,N373AA,,Turbo Fan,0.0,0.0,0.0,91.0,91.0,Boeing767,London,UNITED KINGDOM,100.0,Boeing
20001205X00298,DCA99WA049,1999-03-10,"CALGARY, Canada",Incident,N8873Z,,Unknown,0.0,0.0,0.0,96.0,96.0,Boeing727,Calgary,Canada,100.0,Boeing
20001212X18964,DCA99WA061,1999-06-09,"ZHANJIANG, CHINA",Non-Fatal,,,Unknown,0.0,0.0,4.0,71.0,75.0,Boeing737,Zhanjiang,CHINA,110.66666666666667,Boeing
20001212X18965,DCA99WA062,1999-06-09,"TEGUCIGALPA, Honduras",Incident,N697AN,,Unknown,0.0,0.0,0.0,94.0,94.0,Boeing757,Tegucigalpa,Honduras,100.0,Boeing
20001212X19475,DCA99WA080,1999-08-24,"COPENHAGEN, Denmark",Incident,,,Unknown,0.0,0.0,0.0,191.0,191.0,Boeing767,Copenhagen,Denmark,100.0,Boeing
20001212X20085,DCA00WA007,1999-11-05,"LONDON, UNITED KINGDOM",Non-Fatal,N784UA,,Turbo Fan,0.0,0.0,0.0,274.0,274.0,Boeing777,London,UNITED KINGDOM,100.0,Boeing
20001212X20217,CHI00WA045,1999-12-13,"LONDON, United Kingdom",Non-Fatal,N786UA,,Turbo Fan,0.0,1.0,5.0,185.0,191.0,Boeing777,London,United Kingdom,110.99476439790577,Boeing
20001212X20342,DCA00WA018,2000-01-02,"AMSTERDAM, Netherlands",Incident,,,Unknown,0.0,0.0,0.0,143.0,143.0,Boeing737,Amsterdam,Netherlands,100.0,Boeing
20001212X20476,DCA00WA029,2000-02-27,"PORTO ALEGRE, BRAZIL",Non-Fatal,,,Unknown,0.0,0.0,0.0,123.0,123.0,Boeing737,Porto Alegre,BRAZIL,100.0,Boeing
20001212X20606,DCA00MA030,2000-03-05,"BURBANK, CA",Non-Fatal,N668SW,2.0,Turbo Fan,0.0,2.0,42.0,98.0,142.0,Boeing737,Burbank,California,174.64788732394365,Boeing
20001212X20792,DCA00WA040,2000-04-19,"SAMAL ISLAND, Philippines",Fatal(131),,,Unknown,131.0,0.0,0.0,0.0,131.0,Boeing737,Samal Island,Philippines,2500.0,Boeing
20001212X21079,MIA00LA169,2000-05-20,"NASHVILLE, TN",Non-Fatal,N522SW,,Turbo Fan,0.0,1.0,0.0,123.0,124.0,Boeing737,Nashville,Tennessee,108.87096774193547,Boeing
20001212X21426,DCA00WA074,2000-07-23,"MONTREAL, Canada",Incident,,,Unknown,0.0,0.0,380.0,0.0,380.0,Boeing747,Montreal,Canada,300.0,Boeing
20001212X22275,DCA01WA004,2000-11-15,"COPENHAGEN, Denmark",Incident,,,Unknown,0.0,0.0,0.0,97.0,97.0,Boeing757,Copenhagen,Denmark,100.0,Boeing
20010216X00462,NYC01LA076,2000-12-27,"Boston, MA",Non-Fatal,N155DL,2.0,Turbo Fan,0.0,1.0,0.0,79.0,80.0,Boeing767,Boston,Massachusetts,113.75,Boeing
20010130X00371,DCA01WA013,2001-01-09,"BUENOS AIRES, ARGENTINA",Non-Fatal,,,,0.0,0.0,0.0,144.0,144.0,Boeing727,Buenos Aires,ARGENTINA,100.0,Boeing
20010226X00510,NYC01LA075A,2001-02-03,"BOSTON, MA",Non-Fatal,N3735D,2.0,Turbo Fan,0.0,0.0,0.0,135.0,135.0,Boeing737,Boston,Massachusetts,100.0,Boeing
20010919X01964,ATL01WA106,2001-09-07,"Buenos Aires, Argentina",Non-Fatal,N194DN,,,0.0,1.0,0.0,89.0,90.0,Boeing767,Buenos Aires,Argentina,112.22222222222223,Boeing
20020123X00104,DCA01MA063,2001-09-11,"New York City, NY",Fatal(65),N612UA,2.0,Turbo Fan,65.0,0.0,0.0,0.0,65.0,Boeing767,New York City,New York,2500.0,Boeing
20030305X00289,SEA03WA033,2003-02-01,"VANCOUVER, BC, CANADA",Non-Fatal,N764AS,,,0.0,0.0,0.0,101.0,101.0,Boeing737,Vancouver,"BC, CANADA",100.0,Boeing
20030902X01433,NYC03CA169,2003-07-22,"Wadsworth, OH",Non-Fatal,N504US,2.0,Turbo Fan,0.0,1.0,2.0,110.0,113.0,Boeing757,Wadsworth,Ohio,113.27433628318585,Boeing
20031105X01861,NYC04CA003,2003-10-04,"BOSTON, MA",Non-Fatal,N972AN,2.0,Turbo Fan,0.0,0.0,0.0,76.0,76.0,Boeing737,Boston,Massachusetts,100.0,Boeing
20060111X00048,DCA04MA061,2004-07-25,"Miami, FL",Non-Fatal,N797AN,2.0,Turbo Fan,0.0,1.0,0.0,216.0,217.0,Boeing777,Miami,Florida,105.06912442396312,Boeing
20050323X00356,NYC05FA054,2005-03-02,"NEWARK, NJ",Non-Fatal,N78008,2.0,Turbo Fan,0.0,0.0,0.0,214.0,214.0,Boeing777,Newark,New Jersey,100.0,Boeing
20050318X00330,DCA05WA042,2005-03-11,"BUENOS AIRES, ARGENTINA",Non-Fatal,N790AN,,,0.0,0.0,8.0,201.0,209.0,Boeing777,Buenos Aires,ARGENTINA,107.65550239234449,Boeing
20050502X00534,DEN05IA071,2005-04-25,"Denver, CO",Incident,N789TM,2.0,Turbo Jet,0.0,0.0,0.0,98.0,98.0,Boeing737,Denver,Colorado,100.0,Boeing
20050523X00653,NYC05MA083,2005-05-12,"Union Star, MO",Incident,N910ME,2.0,Turbo Fan,0.0,0.0,0.0,80.0,80.0,Boeing717,Union Star,Missouri,100.0,Boeing
20081003X62950,DCA05WA067,2005-05-20,"LONDON, UNITED KINGDOM",Non-Fatal,N864DA,,,0.0,0.0,0.0,309.0,309.0,Boeing777,London,UNITED KINGDOM,100.0,Boeing
20051028X01749,DCA05MA083,2005-07-11,"Raleigh-Durham, NC",Non-Fatal,N113DA,2.0,Turbo Fan,0.0,1.0,0.0,186.0,187.0,Boeing767,Raleigh-Durham,North Carolina,105.88235294117648,Boeing
20050825X01313,IAD05LA118A,2005-08-08,"NEWARK, NJ",Non-Fatal,N73270,2.0,Turbo Jet,0.0,0.0,0.0,205.0,205.0,Boeing737,Newark,New Jersey,100.0,Boeing
20050921X01501,DCA05MA095,2005-08-19,"AGANA, GU",Non-Fatal,N627US,4.0,Turbo Fan,0.0,0.0,2.0,338.0,340.0,Boeing747,Agana,GU,101.17647058823529,Boeing
20051101X01767,DCA06WA001,2005-10-30,"Calgary, Canada",Incident,N317AS,,,0.0,0.0,0.0,119.0,119.0,Boeing737,Calgary,Canada,100.0,Boeing
20051206X01938,DCA06WA008A,2005-11-06,"HEATHROW IAP, UNITED KINGDOM",Non-Fatal,N781AN,,,0.0,0.0,0.0,243.0,243.0,Boeing777,Heathrow Iap,UNITED KINGDOM,100.0,Boeing
20060425X00482,DCA06WA035,2006-04-19,"Shanghai, China",Non-Fatal,N216UA,,,0.0,1.0,4.0,232.0,237.0,Boeing777,Shanghai,China,108.01687763713079,Boeing
20070426X00458,CHI07FA020B,2006-11-07,"CHICAGO, IL",Non-Fatal,N328UA,,,0.0,0.0,0.0,216.0,216.0,Boeing737,Chicago,Illinois,100.0,Boeing
20070111X00042,LAX07LA064B,2006-12-26,"SAN DIEGO, CA",Non-Fatal,N673AA,2.0,Turbo Fan,0.0,0.0,0.0,208.0,208.0,Boeing737,San Diego,California,100.0,Boeing
20061227X01849,MIA07IA031,2006-12-26,"Miami, FL",Incident,G-BNLM,4.0,Turbo Fan,0.0,0.0,0.0,368.0,368.0,Boeing747,Miami,Florida,100.0,Boeing
20070111X00042,LAX07LA064A,2006-12-26,"San Diego, CA",Non-Fatal,N207WN,2.0,Turbo Fan,0.0,0.0,0.0,208.0,208.0,Boeing737,San Diego,California,100.0,Boeing
20080513X00660,ENG07RA014,2007-02-26,"LONDON, UNITED KINGDOM",Non-Fatal,N786UA,,,0.0,0.0,0.0,205.0,205.0,Boeing777,London,UNITED KINGDOM,100.0,Boeing
20070520X00598,NYC07LA105,2007-04-25,"La Plata, MD",Non-Fatal,N648SW,2.0,Turbo Fan,0.0,1.0,0.0,102.0,103.0,Boeing737,La Plata,Maryland,110.67961165048543,Boeing
20070705X00879,CHI07FA184A,2007-06-27,"Chicago, IL",Non-Fatal,N213UA,2.0,Turbo Fan,0.0,0.0,0.0,501.0,501.0,Boeing777,Chicago,Illinois,100.0,Boeing
20070911X01360,MIA07CA119,2007-07-12,"Atlanta, GA",Non-Fatal,N865DA,2.0,Turbo Fan,0.0,1.0,0.0,250.0,251.0,Boeing777,Atlanta,Georgia,104.38247011952191,Boeing
20071231X02010,ENG08IA002,2007-11-17,"Greenville, TX",Incident,N676SW,2.0,Turbo Fan,0.0,0.0,0.0,138.0,138.0,Boeing737,Greenville,Texas,100.0,Boeing
20071231X02013,CHI08FA050,2007-12-14,"Chicago, IL",Non-Fatal,N220UA,2.0,Turbo Fan,0.0,1.0,0.0,263.0,264.0,Boeing777,Chicago,Illinois,104.16666666666667,Boeing
20080111X00039,DCA08WA025,2008-01-07,"Bangkok, Thailand",Non-Fatal,OJM,,,0.0,0.0,0.0,334.0,334.0,Boeing747,Bangkok,Thailand,100.0,Boeing
20080122X00088,CHI08IA065,2008-01-08,"Lincoln, NE",Non-Fatal,N733TW,2.0,Turbo Fan,0.0,0.0,0.0,38.0,38.0,Boeing737,Lincoln,Nebraska,100.0,Boeing
20080117X00065,DCA08RA028,2008-01-17,"London, United Kingdom",Non-Fatal,G-YMMM,,,0.0,2.0,0.0,191.0,193.0,Boeing777,London,United Kingdom,111.39896373056995,Boeing
20080212X00178,ENG08IA011,2008-01-31,"West Palm Beach, FL",Non-Fatal,N624AA,,Turbo Fan,0.0,6.0,0.0,140.0,146.0,Boeing757,West Palm Beach,Florida,145.2054794520548,Boeing
20080506X00615,ENG08WA013,2008-02-10,"Cusco, Peru",Non-Fatal,OB-1843-P,,,0.0,0.0,0.0,55.0,55.0,Boeing737,Cusco,Peru,100.0,Boeing
20080723X01110,DCA08WA069,2008-02-10,"Kansai, Japan",Non-Fatal,B2096,,,0.0,0.0,1.0,72.0,73.0,Boeing737,Kansai,Japan,102.73972602739727,Boeing
20080222X00225,DCA08WA039,2008-02-13,"Helsinki, Finland",Non-Fatal,UR-GAU,,,0.0,0.0,0.0,39.0,39.0,Boeing737,Helsinki,Finland,100.0,Boeing
20080413X00464,NYC08CA115,2008-02-23,"Valdosta, GA",Non-Fatal,N551WN,2.0,Turbo Fan,0.0,0.0,1.0,102.0,103.0,Boeing737,Valdosta,Georgia,101.94174757281553,Boeing
20080305X00267,LAX08IA065,2008-02-24,"Las Vegas, NV",Non-Fatal,N648SW,2.0,Turbo Fan,0.0,6.0,0.0,136.0,142.0,Boeing737,Las Vegas,Nevada,146.47887323943664,Boeing
20080404X00432,DFW08WA090,2008-02-25,"Mexico City, Mexico",Non-Fatal,N774AM,2.0,Turbo Fan,0.0,0.0,0.0,403.0,403.0,Boeing777,Mexico City,Mexico,100.0,Boeing
20080307X00283,DFW08IA074,2008-03-01,"Dallas, TX",Non-Fatal,N652SW,2.0,Turbo Fan,0.0,0.0,0.0,244.0,244.0,Boeing737,Dallas,Texas,100.0,Boeing
20080506X00616,ENG08WA024,2008-03-03,"Cusco, Peru",Non-Fatal,OB-1843-P,,,0.0,0.0,0.0,54.0,54.0,Boeing737,Cusco,Peru,100.0,Boeing
20080509X00640,DCA08IA048,2008-03-22,"Richmond, VA",Non-Fatal,N921UW,,,0.0,0.0,0.0,180.0,180.0,Boeing757,Richmond,Virginia,100.0,Boeing
20080404X00426,DFW08IA087,2008-03-27,"Houston, TX",Non-Fatal,N23661,2.0,Turbo Fan,0.0,0.0,0.0,118.0,118.0,Boeing737,Houston,Texas,100.0,Boeing
20080722X01094,NYC08CA156,2008-04-07,"Miami, FL",Non-Fatal,N947AN,2.0,Turbo Fan,0.0,1.0,1.0,146.0,148.0,Boeing737,Miami,Florida,108.78378378378379,Boeing
20080709X00995,OPS08IA007,2008-07-03,"Seattle, WA",Non-Fatal,N339AT,2.0,,0.0,0.0,0.0,314.0,314.0,Boeing737,Seattle,Washington,100.0,Boeing
20080709X00994,OPS08IA008,2008-07-06,"New York, NY",Non-Fatal,VP-CKW,,,0.0,0.0,0.0,285.0,285.0,Boeing737,New York,New York,100.0,Boeing
20080813X01238,DCA08WA080,2008-07-14,"Port Harcourt, Nigeria",Non-Fatal,5N-BIG,,,0.0,1.0,0.0,46.0,47.0,Boeing737,Port Harcourt,Nigeria,123.40425531914893,Boeing
20080805X01157,DCA08RA084,2008-07-25,"Manila, Philippines",Non-Fatal,VH-OJK,,,0.0,0.0,0.0,365.0,365.0,Boeing747,Manila,Philippines,100.0,Boeing
20081003X16340,ENG08IA038,2008-08-06,"Las Vegas, NV",Non-Fatal,N666DN,2.0,Turbo Fan,0.0,0.0,0.0,170.0,170.0,Boeing757,Las Vegas,Nevada,100.0,Boeing
20080822X01296,SEA08LA182,2008-08-16,"San Francisco, CA",Non-Fatal,B-16710,2.0,Turbo Fan,0.0,0.0,0.0,311.0,311.0,Boeing777,San Francisco,California,100.0,Boeing
20080825X01307,DCA08RA090,2008-08-20,"Madrid, Spain",Fatal,EC-HFP,,,154.0,0.0,18.0,0.0,172.0,Boeing82,Madrid,Spain,2269.767441860465,Boeing
20081003X16307,DCA08WA092,2008-08-24,"Bishkek, Kyrgyzstan",Fatal,Ex-009,,,65.0,25.0,0.0,0.0,90.0,Boeing737,Bishkek,Kyrgyzstan,2138.888888888889,Boeing
20080829X01354,OPS08IA014,2008-08-28,"Atlantic Ocean,",Non-Fatal,UKNOWN,,,0.0,0.0,0.0,159.0,159.0,Boeing744,Atlantic Ocean,,100.0,Boeing
20080920X01508,DCA08RA097,2008-09-14,"Perm, Russia",Fatal,VP-BKO,,,88.0,0.0,0.0,0.0,88.0,Boeing737,Perm,Russia,2500.0,Boeing
20081007X03940,CHI08IA292,2008-09-22,"Chicago, IL",Non-Fatal,N197AN,2.0,Turbo Fan,0.0,0.0,0.0,192.0,192.0,Boeing757,Chicago,Illinois,100.0,Boeing
20081219X65313,ENG08IA042,2008-10-01,"Chicago, IL",Non-Fatal,N551WN,2.0,Turbo Fan,0.0,0.0,0.0,133.0,133.0,Boeing737,Chicago,Illinois,100.0,Boeing
20081020X72910,DCA09WA003,2008-10-02,"Bangkok, Thailand",Non-Fatal,B-18202,4.0,,0.0,13.0,1.0,151.0,165.0,Boeing747,Bangkok,Thailand,187.87878787878788,Boeing
20081105X55127,DCA09WA008,2008-10-16,"Maiquetia, Venezuela",Non-Fatal,YV162T,2.0,,0.0,0.0,0.0,55.0,55.0,Boeing737,Maiquetia,Venezuela,100.0,Boeing
20100304X92243,ENG08WA050,2008-10-18,"Belgrade, Serbia, Suriname",Non-Fatal,D-AXLF,2.0,,0.0,0.0,0.0,189.0,189.0,Boeing737,Belgrade,"Serbia, Suriname",100.0,Boeing
20081110X15316,WPR09IA033,2008-11-07,"Salt Lake City, UT",Non-Fatal,N254WN,2.0,Turbo Fan,0.0,0.0,0.0,51.0,51.0,Boeing737,Salt Lake City,Utah,100.0,Boeing
20081201X44308,DCA09IA014,2008-11-26,"Bozeman, MT",Non-Fatal,N862DA,2.0,Turbo Fan,0.0,0.0,0.0,263.0,263.0,Boeing777,Bozeman,Montana,100.0,Boeing
20081223X70710,ANC09IA015,2008-12-20,"Sitka, AK",Non-Fatal,N771AS,2.0,Turbo Fan,0.0,88.0,0.0,0.0,88.0,Boeing737,Sitka,Alaska,1200.0,Boeing
20081221X14648,DCA09MA021,2008-12-21,"Denver, CO",Non-Fatal,N18611,2.0,,0.0,41.0,6.0,68.0,115.0,Boeing737,Denver,Colorado,502.60869565217394,Boeing
20081224X25658,WPR09IA065,2008-12-24,"Seattle, WA",Non-Fatal,N516AS,2.0,Turbo Jet,0.0,0.0,0.0,141.0,141.0,Boeing737,Seattle,Washington,100.0,Boeing
20081228X25156,WPR09FA068,2008-12-28,"Seattle, WA",Non-Fatal,N585NW,2.0,Turbo Fan,0.0,0.0,0.0,352.0,352.0,Boeing757,Seattle,Washington,100.0,Boeing
20090105X01036,ENG09IA002,2009-01-02,"Atlanta, GA",Non-Fatal,N864DA,2.0,Turbo Fan,0.0,0.0,0.0,257.0,257.0,Boeing777,Atlanta,Georgia,100.0,Boeing
20090113X70049,ENG09RA003,2009-01-06,"Ho Chi Minh City, Vietnam",Non-Fatal,VN-A143,,,0.0,0.0,0.0,332.0,332.0,Boeing777,Ho Chi Minh City,Vietnam,100.0,Boeing
20090220X30535,DCA09WA029,2009-02-20,"Tokyo, Japan",Non-Fatal,N676NW,,,0.0,34.0,4.0,384.0,422.0,Boeing747,Tokyo,Japan,190.521327014218,Boeing
20090225X82204,DCA09RA030,2009-02-25,"Amsterdam, Netherlands (the)",Fatal,TC-JGE,2.0,,9.0,53.0,27.0,45.0,134.0,Boeing737,Amsterdam,Netherlands (the),736.5671641791045,Boeing
20090306X84920,DCA09WA036,2009-02-27,",",Non-Fatal,PK-YTX,2.0,,0.0,0.0,0.0,131.0,131.0,Boeing737,,,100.0,Boeing
20090305X25029,DCA09WA034,2009-03-04,"Niigata, Japan",Non-Fatal,FGSPD,2.0,,0.0,0.0,2.0,275.0,277.0,Boeing777,Niigata,Japan,101.44404332129963,Boeing
20090421X81417,CEN09LA256,2009-04-18,"McAllen, TX",Non-Fatal,N27722,2.0,Turbo Jet,0.0,3.0,1.0,105.0,109.0,Boeing737,Mcallen,Texas,132.11009174311928,Boeing
20090424X50554,DCA09FA045,2009-04-20,"New York, NY",Non-Fatal,CN-RNT,2.0,Turbo Fan,0.0,0.0,0.0,220.0,220.0,Boeing767,New York,New York,100.0,Boeing
20090507X00926,DCA09FA048,2009-05-06,"Baltimore, MD",Non-Fatal,N139WA,3.0,Turbo Fan,0.0,11.0,1.0,168.0,180.0,Boeing10,Baltimore,Maryland,168.33333333333334,Boeing
20090513X31333,CEN09IA294,2009-05-13,"Houston, TX",Non-Fatal,N371SW,2.0,Turbo Fan,0.0,2.0,0.0,51.0,53.0,Boeing737,Houston,Texas,141.50943396226415,Boeing
20090724X12005,ERA09LA418,2009-05-16,"Cuba, Cuba",Non-Fatal,N657DL,2.0,Turbo Fan,0.0,4.0,1.0,184.0,189.0,Boeing757,Cuba,Cuba,124.33862433862434,Boeing
20090527X25328,DCA09CA051,2009-05-20,"San Juan, PR",Non-Fatal,N129DL,2.0,Turbo Fan,0.0,4.0,1.0,263.0,268.0,Boeing767,San Juan,PR,117.16417910447761,Boeing
20090626X74656,DCA09WA058,2009-06-05,"Taipei, Taiwan, Taiwan (Province of China)",Non-Fatal,JA-613J,2.0,,0.0,0.0,0.0,210.0,210.0,Boeing767,Taipei,"Taiwan, Taiwan (Province of China)",100.0,Boeing
20090610X65600,ENG09IA007,2009-06-10,"Denver, CO",Non-Fatal,N570UA,2.0,Turbo Jet,0.0,0.0,0.0,192.0,192.0,Boeing757,Denver,Colorado,100.0,Boeing
20090629X84637,DCA09WA062,2009-06-19,"North Bay, Canada",Non-Fatal,SP-LPA,2.0,,0.0,0.0,0.0,216.0,216.0,Boeing767,North Bay,Canada,100.0,Boeing
20090714X83900,DCA09FA065,2009-07-13,"Charleston, WV",Non-Fatal,N387SW,2.0,,0.0,0.0,0.0,131.0,131.0,Boeing737,Charleston,West Virginia,100.0,Boeing
20090810X21314,DCA09IA071,2009-08-03,"Bavaro, Las Americas",Non-Fatal,N76156,2.0,Turbo Jet,0.0,33.0,0.0,146.0,179.0,Boeing767,Bavaro,Las Americas,302.7932960893855,Boeing
20090806X21108,ERA09LA444,2009-08-06,"Fayetteville, NC",Non-Fatal,N328EN,2.0,Turbo Prop,0.0,0.0,1.0,32.0,33.0,Boeing8,Fayetteville,North Carolina,106.06060606060606,Boeing
20090811X50316,DCA09WA072,2009-08-10,"Tokyo, Japan",Non-Fatal,JA56AN,2.0,Turbo Fan,0.0,0.0,0.0,153.0,153.0,Boeing737,Tokyo,Japan,100.0,Boeing
20090828X61756,ERA09LA488,2009-08-27,"Inverness, FL",Non-Fatal,N994AT,2.0,Turbo Jet,0.0,0.0,1.0,85.0,86.0,Boeing717,Inverness,Florida,102.32558139534885,Boeing
