Event.Id,Accident.Number,Event.Date,Injury.Severity,Registration.Number,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make:Model,People.Count,City,Region,Latitude,Longitude
2.0211E+13,DCA22LA005,10/2/21,Non-Fatal,N142SY,2.0,,0,0,0,53,Embraer: ERJ 170-200 LR,53,Chicago,Illinois,41.8375,-87.6866
2.0211E+13,DCA22LA012,10/9/21,Non-Fatal,N8642E,2.0,,0,0,1,111,Boeing: 737-8H4,112,Lexington,Virginia,38.0423,-84.4587
2.0211E+13,DCA22LA015,10/23/21,Non-Fatal,N252NN,2.0,,0,0,1,62,Embraer: ERJ 170-200 LR,63,Miami,Florida,25.784,-80.2101
2.02111E+13,DCA22WA021,10/31/21,Non-Fatal,4X-EDA,,,0,0,0,276,Boeing: 787-9,276,Vogo,India,12.974611,77.571539
2.02111E+13,DCA22WA020,11/3/21,Non-Fatal,N36962,2.0,,0,0,0,159,Boeing: 787-9,159,Baradero,Argentina,-34.636059,-58.4764
2.02111E+13,DCA22WA035,11/25/21,Non-Fatal,N1604R,2.0,,0,0,0,206,Boeing: 767-332,206,Bogata,Colombia,33.4699,-95.2136
2.02201E+13,DCA22WA067,1/2/22,Non-Fatal,SP-LRA,,,0,0,0,199,Boeing: 787,199,Warsaw,,41.2448,-85.8465
2.02201E+13,DCA22WA071,1/15/22,Non-Fatal,YV2794,,,0,0,0,51,Boeing: 737,51,Barcelona,Spain,41.387397,2.168568
2.02202E+13,DCA22WA074,1/16/22,Serious,JA24MC,,,0,0,1,55,Airbus: A320,56,Okayama,Japan,34.655531,133.919795
2.02201E+13,DCA22LA069,1/22/22,Non-Fatal,N760JB,2.0,,0,0,0,108,Airbus: A320-232,108,Hayden,Colorado,47.768,-116.804
2.02202E+13,ENG22FA009,2/4/22,Non-Fatal,N817SY,2.0,,0,0,0,56,Boeing: 737-8K2,56,Las Vegas,Nevada,36.2333,-115.2654
2.02202E+13,ENG22WA013,2/10/22,Non-Fatal,ZS-ZWD,2.0,,0,0,0,163,Boeing: 737,163,Lanseria,South Africa,-25.940017,27.926365
2.02203E+13,DCA22WA090,3/2/22,Non-Fatal,AP-BNB,,,0,0,0,115,Boeing: 737,115,Karachi,Pakistan,24.860734,67.001136
2.02203E+13,ENG22WA015,3/7/22,Non-Fatal,ZS-ZWB,,,0,0,0,141,Boeing: 737,141,Lanseria,South Africa,-25.940017,27.926365
2.02203E+13,DCA22WA095,3/9/22,Non-Fatal,G-TAWY,2.0,,0,0,0,177,Boeing: 737,177,Manchester,United Kingdom,53.480759,-2.24263
2.02203E+13,DCA22WA102,3/21/22,Fatal,B-1791,,,132,0,0,0,Boeing: 737,132,Wuzhou,China,23.47691,111.27917
2.02204E+13,ENG22WA018,4/8/22,Non-Fatal,N670UA,2.0,,0,0,0,126,Boeing: 767-322,126,Shannon,Ireland,52.711782,-8.878336
