Event.Id,Accident.Number,Event.Date,Location,Injury.Severity,Registration.Number,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,People.Count,Make:Model,City,Region
20110426X03427,ERA11LA266,2011-04-25,"New York, NY",Non-Fatal,N807NW,2.0,Turbo Fan,0.0,0.0,1.0,275.0,276.0,Airbus: A330-323,New York,New York
20110426X53639,DCA11IA047,2011-04-26,"Chicago, IL",Non-Fatal,N799SW,2.0,Turbo Fan,0.0,0.0,0.0,139.0,139.0,Boeing: 737-7Q8,Chicago,Illinois
20110510X01046,DCA11FA053,2011-05-09,"Chillicothe, MO",Non-Fatal,N801UA,2.0,Turbo Fan,0.0,0.0,1.0,124.0,125.0,Airbus: A319,Chillicothe,Missouri
20110513X41407,ERA11CA296,2011-05-12,"Atlanta, GA",Non-Fatal,N308DE,2.0,Turbo Fan,0.0,0.0,0.0,298.0,298.0,Boeing: 737-732,Atlanta,Georgia
20110525X44500,DCA11WA061,2011-05-12,"Tao-Yuan, Taiwan (Province of China)",Non-Fatal,B-17917,2.0,,0.0,0.0,0.0,101.0,101.0,Boeing: MD-90,Tao-Yuan,Taiwan (Province of China)
20110518X94643,OPS11IA552,2011-05-16,"CHICAGO, IL",Non-Fatal,N905SW,2.0,Turbo Fan,0.0,0.0,0.0,63.0,63.0,Bombardier: CL-600-2B19,Chicago,Illinois
20110525X45514,DCA11WA062,2011-05-20,"Dublin, Ireland",Non-Fatal,EI-DLI,2.0,,0.0,0.0,0.0,66.0,66.0,Boeing: B737,Dublin,Ireland
20110525X42547,DCA11CA060,2011-05-23,"Boone, NC",Non-Fatal,N623DL,2.0,Turbo Fan,0.0,1.0,1.0,185.0,187.0,Boeing: 757,Boone,North Carolina
20110701X11957,WPR11LA300,2011-05-31,"Los Angeles, CA",Non-Fatal,N526UA,2.0,Turbo Fan,0.0,0.0,0.0,190.0,190.0,Boeing: 757-222,Los Angeles,California
20110603X52158,CEN11IA369,2011-06-03,"Chicago, IL",Non-Fatal,N607AE,2.0,Turbo Jet,0.0,0.0,0.0,52.0,52.0,Embraer: EMB-145,Chicago,Illinois
20110607X73034,ERA11CA327,2011-06-06,"Florence, SC",Non-Fatal,N929LR,2.0,Turbo Fan,0.0,0.0,1.0,88.0,89.0,Bombardier: CL600-2D24,Florence,South Carolina
20110607X83931,CEN11IA379,2011-06-07,"Milwaukee, WI",Non-Fatal,N866AS,2.0,Turbo Fan,0.0,0.0,0.0,44.0,44.0,Bombardier: CL-600-2B19,Milwaukee,Wisconsin
20110621X32040,DCA11CA073,2011-06-12,"San Fransico, CA",Non-Fatal,N571UA,2.0,Turbo Jet,0.0,0.0,0.0,190.0,190.0,Boeing: 757-222,San Fransico,California
20110621X20741,ENG11IA035,2011-06-21,"Atlanta, GA",Non-Fatal,N6714Q,2.0,Turbo Fan,0.0,3.0,0.0,175.0,178.0,Boeing: 757-232,Atlanta,Georgia
20110628X11855,ERA11CA367,2011-06-22,"Miami, FL",Non-Fatal,N884DA,2.0,Turbo Fan,0.0,0.0,1.0,126.0,127.0,Mcdonnell Douglas: MD88,Miami,Florida
20110711X20245,DCA11RA080,2011-07-08,"Kisangani, Central Africa",Fatal,9Q-COP,3.0,,77.0,0.0,0.0,35.0,112.0,Boeing: 727,Kisangani,Central Africa
20110715X40120,DCA11CA084,2011-07-14,"Boston, MA",Non-Fatal,N132EV,2.0,Turbo Fan,0.0,0.0,0.0,291.0,291.0,Bombardier: CL600 2D24,Boston,Massachusetts
20110719X64022,DCA11WA088,2011-07-26,"PEMIR, Latvia",Non-Fatal,YL-BBR,,,0.0,0.0,0.0,144.0,144.0,Boeing: 737,Pemir,Latvia
20110729X51123,DCA11WA090,2011-07-29,"Cairo, Egypt",Non-Fatal,SU-GBP,2.0,,0.0,0.0,0.0,319.0,319.0,Boeing: 777,Cairo,Egypt
20110730X60307,DCA11FA091,2011-07-29,"Tangshan, China",Non-Fatal,N173UA,4.0,Turbo Fan,0.0,4.0,1.0,380.0,385.0,Boeing: 747-422,Tangshan,China
20110730X61108,DCA11RA092,2011-07-30,"Georgetown, Guyana",Non-Fatal,9Y-PBM,2.0,,0.0,0.0,1.0,161.0,162.0,Boeing: 737,Georgetown,Guyana
20110809X50704,OPS11IA819,2011-08-08,"Chicago, IL",Non-Fatal,N377SK,2.0,Turbo Jet,0.0,0.0,0.0,84.0,84.0,Embraer: EMB-135KL,Chicago,Illinois
20110830X63935,ENG11IA047,2011-08-29,"Moline, IL",Non-Fatal,N27152,2.0,Turbo Fan,0.0,0.0,0.0,53.0,53.0,Embraer: EMB145,Moline,Illinois
20110902X54326,CEN11IA615,2011-09-01,"Baton Rouge, LA",Non-Fatal,N875AS,2.0,Turbo Fan,0.0,0.0,0.0,53.0,53.0,Bombardier: CL-600-2B19,Baton Rouge,Louisiana
20110907X15938,CEN11WA628,2011-09-04,"Ottawa, Canada",Non-Fatal,N840HK,2.0,Turbo Fan,0.0,0.0,0.0,47.0,47.0,Embraer: EMB-145LR,Ottawa,Canada
20120224X42146,DCA11CA116,2011-09-06,"Cape Coral, FL",Non-Fatal,N936WN,2.0,Turbo Fan,0.0,0.0,1.0,141.0,142.0,Boeing: 737 7H4,Cape Coral,Florida
20110912X61152,ANC11CA101,2011-09-10,"Yakota, Japan",Non-Fatal,N71CX,4.0,Turbo Jet,0.0,0.0,1.0,36.0,37.0,Mcdonnell Douglas: DC-8-62F,Yakota,Japan
20111013X11758,DCA11WA110,2011-09-12,"Montauk, AO",Non-Fatal,OE-LPB,,,0.0,0.0,2.0,272.0,274.0,Boeing: 777,Montauk,AO
20110917X35742,CEN11IA649,2011-09-17,"Chicago, IL",Non-Fatal,C-FGYL,2.0,Turbo Fan,0.0,0.0,0.0,140.0,140.0,Airbus: A320-211,Chicago,Illinois
20110919X65108,DCA11RA100,2011-09-17,"Quito, Spain",Non-Fatal,HC-CEZ,2.0,Turbo Fan,0.0,0.0,5.0,97.0,102.0,Embraer: E190,Quito,Spain
20110927X91721,ENG11IA051,2011-09-26,"Denver, CO",Non-Fatal,N526UA,2.0,Turbo Fan,0.0,0.0,0.0,185.0,185.0,Boeing: 757-222,Denver,Colorado
